threshold,precision,recall
0.112910,0.246350,1.000000
0.113111,0.246801,1.000000
0.113492,0.247253,1.000000
0.113648,0.247706,1.000000
0.113683,0.248162,1.000000
0.114646,0.248619,1.000000
0.114660,0.249077,1.000000
0.114885,0.249538,1.000000
0.115121,0.250000,1.000000
0.115123,0.250464,1.000000
0.115210,0.250929,1.000000
0.115509,0.251397,1.000000
0.115543,0.251866,1.000000
0.115545,0.252336,1.000000
0.115776,0.252809,1.000000
0.115911,0.253283,1.000000
0.116099,0.253759,1.000000
0.116180,0.254237,1.000000
0.116202,0.254717,1.000000
0.116435,0.255198,1.000000
0.116549,0.255682,1.000000
0.116680,0.256167,1.000000
0.116802,0.256654,1.000000
0.116947,0.257143,1.000000
0.117126,0.257634,1.000000
0.117247,0.258126,1.000000
0.117274,0.258621,1.000000
0.117469,0.259117,1.000000
0.117772,0.259615,1.000000
0.117774,0.260116,1.000000
0.117909,0.260618,1.000000
0.118003,0.261122,1.000000
0.118319,0.261628,1.000000
0.119245,0.262136,1.000000
0.119435,0.262646,1.000000
0.119698,0.263158,1.000000
0.119870,0.263672,1.000000
0.120900,0.264188,1.000000
0.120908,0.264706,1.000000
0.120982,0.265226,1.000000
0.121060,0.265748,1.000000
0.121265,0.266272,1.000000
0.121415,0.266798,1.000000
0.121489,0.267327,1.000000
0.121904,0.267857,1.000000
0.122321,0.268390,1.000000
0.122454,0.268924,1.000000
0.122457,0.269461,1.000000
0.122556,0.270000,1.000000
0.122622,0.270541,1.000000
0.123215,0.271084,1.000000
0.123544,0.271630,1.000000
0.123587,0.272177,1.000000
0.124350,0.272727,1.000000
0.124424,0.273279,1.000000
0.124521,0.273834,1.000000
0.124698,0.274390,1.000000
0.124726,0.274949,1.000000
0.125210,0.275510,1.000000
0.125222,0.276074,1.000000
0.125319,0.276639,1.000000
0.125473,0.277207,1.000000
0.126519,0.277778,1.000000
0.126651,0.278351,1.000000
0.126652,0.278926,1.000000
0.126820,0.279503,1.000000
0.126837,0.280083,1.000000
0.127483,0.280665,1.000000
0.127502,0.281250,1.000000
0.128253,0.281837,1.000000
0.128279,0.282427,1.000000
0.128585,0.283019,1.000000
0.128607,0.283613,1.000000
0.128703,0.284211,1.000000
0.129177,0.284810,1.000000
0.129371,0.285412,1.000000
0.129617,0.286017,1.000000
0.129869,0.286624,1.000000
0.129983,0.287234,1.000000
0.130014,0.287846,1.000000
0.130038,0.288462,1.000000
0.130562,0.289079,1.000000
0.130582,0.289700,1.000000
0.130818,0.290323,1.000000
0.130840,0.290948,1.000000
0.131029,0.291577,1.000000
0.131185,0.292208,1.000000
0.131280,0.292842,1.000000
0.131309,0.293478,1.000000
