model,curve,x,y,threshold
ml_only,pr,1.000000,0.198238,0.175034
ml_only,pr,1.000000,0.198529,0.175220
ml_only,pr,1.000000,0.198822,0.175221
ml_only,pr,1.000000,0.199115,0.175445
ml_only,pr,1.000000,0.199409,0.175679
ml_only,pr,1.000000,0.199704,0.176377
ml_only,pr,1.000000,0.200000,0.176734
ml_only,pr,1.000000,0.200297,0.176843
ml_only,pr,1.000000,0.200594,0.177341
ml_only,pr,1.000000,0.200893,0.177825
ml_only,pr,1.000000,0.201192,0.178194
ml_only,pr,1.000000,0.201493,0.178265
ml_only,pr,1.000000,0.201794,0.178960
ml_only,pr,1.000000,0.202096,0.179290
ml_only,pr,1.000000,0.202399,0.179322
ml_only,pr,1.000000,0.202703,0.180403
ml_only,pr,1.000000,0.203008,0.180839
ml_only,pr,1.000000,0.203313,0.180842
ml_only,pr,1.000000,0.203620,0.181112
ml_only,pr,1.000000,0.203927,0.181474
ml_only,pr,1.000000,0.204236,0.181614
ml_only,pr,1.000000,0.204545,0.181881
ml_only,pr,1.000000,0.204856,0.182411
ml_only,pr,1.000000,0.205167,0.182572
ml_only,pr,1.000000,0.205479,0.182959
ml_only,pr,1.000000,0.205793,0.183235
ml_only,pr,1.000000,0.206107,0.184990
ml_only,pr,1.000000,0.206422,0.185436
ml_only,pr,1.000000,0.206738,0.186600
ml_only,pr,1.000000,0.207055,0.187782
ml_only,pr,1.000000,0.207373,0.188058
ml_only,pr,1.000000,0.207692,0.188652
ml_only,pr,1.000000,0.208012,0.188740
ml_only,pr,1.000000,0.208333,0.188771
ml_only,pr,1.000000,0.208655,0.188996
ml_only,pr,1.000000,0.208978,0.189007
ml_only,pr,1.000000,0.209302,0.189755
ml_only,pr,1.000000,0.209627,0.189843
ml_only,pr,1.000000,0.209953,0.189845
ml_only,pr,1.000000,0.210280,0.190284
ml_only,pr,1.000000,0.210608,0.190578
ml_only,pr,1.000000,0.210938,0.191075
ml_only,pr,1.000000,0.211268,0.191614
ml_only,pr,1.000000,0.211599,0.191820
ml_only,pr,1.000000,0.211931,0.192758
ml_only,pr,1.000000,0.212264,0.193593
ml_only,pr,1.000000,0.212598,0.193606
ml_only,pr,1.000000,0.212934,0.194536
ml_only,pr,1.000000,0.213270,0.194935
ml_only,pr,1.000000,0.213608,0.195388
ml_only,pr,1.000000,0.213946,0.195520
ml_only,pr,1.000000,0.214286,0.195526
ml_only,pr,1.000000,0.214626,0.195623
ml_only,pr,1.000000,0.214968,0.196485
ml_only,pr,1.000000,0.215311,0.196493
